snailID,concentration,confct,time,status
G14,10,c,24,2
G14,10,c,24,2
G14,10,c,24,2
G14,10,c,24,2
G14,10,c,24,2
G14,10,c,24,2
G14,10,c,24,2
G14,10,c,24,2
G14,10,c,24,2
G14,10,c,24,1
G14,10,c,24,1
G14,10,c,24,1
G14,15,d,12,2
G14,15,d,12,2
G14,15,d,12,2
G14,15,d,12,2
G14,15,d,24,2
G14,15,d,24,2
G14,15,d,24,2
G14,15,d,24,2
G14,15,d,24,2
G14,15,d,24,2
G14,15,d,24,2
G14,15,d,24,2
G14,15,d,24,2
G14,15,d,24,2
G14,15,d,24,2
G14,15,d,24,2
G14,15,d,24,1
G14,15,d,24,1
G14,15,d,24,1
G14,15,d,24,1
G16,1,a,8,2
G16,1,a,12,2
G16,1,a,12,2
G16,1,a,24,2
G16,1,a,24,1
G16,1,a,24,1
G16,1,a,24,1
G16,1,a,24,1
G16,1,a,24,1
G16,1,a,24,1
G16,1,a,24,1
G16,1,a,24,1
G16,1,a,24,1
G16,1,a,24,1
G16,1,a,24,1
G16,1,a,24,1
G16,1,a,24,1
G16,1,a,24,1
G16,5,b,8,2
G16,5,b,8,2
G16,5,b,24,1
G16,5,b,24,1
G16,5,b,24,1
G16,5,b,24,1
G16,5,b,24,1
G16,5,b,24,1
G16,5,b,24,1
G16,5,b,24,1
G16,5,b,24,1
G16,5,b,24,1
G16,5,b,24,1
G16,5,b,24,1
G16,5,b,24,1
G16,5,b,24,1
G16,5,b,24,1
G16,5,b,24,1
G16,5,b,24,1
G16,5,b,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,10,c,24,1
G16,15,d,24,2
G16,15,d,24,1
G16,15,d,24,1
G16,15,d,24,1
G16,15,d,24,1
G16,15,d,24,1
G16,15,d,24,1
G16,15,d,24,1
G16,15,d,24,1
G16,15,d,24,1
G16,15,d,24,1
G16,15,d,24,1
G16,15,d,24,1
G16,15,d,24,1
G16,15,d,24,1
G16,15,d,24,1
G16,15,d,24,1
G16,15,d,24,1
G17,1,a,4,2
G17,1,a,24,2
G17,1,a,24,2
G17,1,a,24,2
G17,1,a,24,2
G17,1,a,24,2
G17,1,a,24,2
G17,1,a,24,2
G17,1,a,24,2
G17,1,a,24,1
G17,1,a,24,1
G17,1,a,24,1
G17,1,a,24,1
G17,1,a,24,1
G17,1,a,24,1
G17,1,a,24,1
G17,1,a,24,1
G17,1,a,24,1
G17,1,a,24,1
G17,1,a,24,1
G17,5,b,4,2
G17,5,b,8,2
G17,5,b,24,2
G17,5,b,24,2
G17,5,b,24,2
G17,5,b,24,2
G17,5,b,24,2
G17,5,b,24,2
G17,5,b,24,2
G17,5,b,24,2
G17,5,b,24,2
G17,5,b,24,2
G17,5,b,24,2
G17,5,b,24,2
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,5,b,24,1
G17,10,c,24,2
G17,10,c,24,2
G17,10,c,24,2
G17,10,c,24,1
G17,10,c,24,1
G17,10,c,24,1
G17,10,c,24,1
G17,10,c,24,1
G17,10,c,24,1
